Power_Plant _Name,Company,Street Name,Postcode,City,Country,Capacity,Energy_source,Technology,CHP,Commissioned Year,Type,Latitude,Longitude,Energy_source_level_1,Energy_source_level_2,source
Electrawinds Biomassa Oostende,Electrawinds Distributie,Street data not available,Postcode not available,City data not available,Belgium,18,Non-renewable waste,Other ,Yes,,CHP/IPP,,,Fossil fuels,Non-renewable waste,www.elia.be
Greenpower Oostende,Electrawinds Distributie,Street data not available,Postcode not available,City data not available,Belgium,20,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Eurosilo,Lampiris,Street data not available,Postcode not available,City data not available,Belgium,12.9,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Incinerateur Thumaide (Ipalle),Lampiris,Street data not available,Postcode not available,City data not available,Belgium,34,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Intradel Herstal,Lampiris,Street data not available,Postcode not available,City data not available,Belgium,34,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Ivbo,Lampiris,Street data not available,Postcode not available,City data not available,Belgium,16,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Plate-Taille T,Lampiris,Street data not available,Postcode not available,City data not available,Belgium,144,Hydro,Other ,No,,Standard Utility,,,Renewable energy,Hydro,www.elia.be
Angleur Tg 41,Luminus,Street data not available,Postcode not available,City data not available,Belgium,64,Natural gas,Gas turbine,No,,Standard Utility,50.61775,5.58267,Fossil fuels,Natural gas,www.elia.be
Angleur Tg 42,Luminus,Street data not available,Postcode not available,City data not available,Belgium,64,Natural gas,Gas turbine,No,,Standard Utility,50.61775,5.58267,Fossil fuels,Natural gas,www.elia.be
Angleur Tg31,Luminus,Street data not available,Postcode not available,City data not available,Belgium,25,Natural gas,Other ,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Angleur Tg32,Luminus,Street data not available,Postcode not available,City data not available,Belgium,25,Natural gas,Other ,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Beveren 2 Indaver,Luminus,Street data not available,Postcode not available,City data not available,Belgium,21,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Beveren 3 Indaver,Luminus,Street data not available,Postcode not available,City data not available,Belgium,24,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Beveren Sleco,Luminus,Street data not available,Postcode not available,City data not available,Belgium,41,Non-renewable waste,Other ,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Edf Luminus Izegem Wkk,Luminus,Street data not available,Postcode not available,City data not available,Belgium,20,Natural gas,Other ,Yes,,CHP/IPP,,,Fossil fuels,Natural gas,www.elia.be
Edf Luminus Seraing Gt1,Luminus,Street data not available,Postcode not available,City data not available,Belgium,150,Natural gas,Gas turbine,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
